ID,City,State,State Abbr,Population,School Districts,Elementary Schools,Elementary Enrollment,Median HH Income,College %,STEM %,COL Index,Metro Income,National Brand Count (Weighted),Local Provider Estimate,Demand Adjusted Market,CSI Score,Saturation Category,Brand Detail,Confidence,Last Updated
"567","Charlotte city","North Carolina","NC","943476","28","116","51040","74070","","14.9","97.55","59092","45","153","58162.043","0.0034063454","moderate","Code Ninjas(3)|Snapology(1)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Galileo Learning(1)|Challenge Island(1)|Young Chefs Academy(1)|Primrose Schools(5)|Goddard School(3)|KinderCare(14)|i9 Sports(2)","medium","2026-05-21T08:42:03.000Z"
"592","Columbus city","Ohio","OH","933263","84","131","57640","62994","","16.6","90.28","58236","45","173","55861.14","0.0039011019","competitive","Code Ninjas(3)|Snapology(1)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Galileo Learning(1)|Challenge Island(1)|Young Chefs Academy(1)|Primrose Schools(5)|Goddard School(3)|KinderCare(14)|i9 Sports(2)","medium","2026-05-21T08:42:03.000Z"
"375","Indianapolis city (balance)","Indiana","IN","891484","79","145","63800","59110","","21.5","91.88","58671","44","191","58018.74","0.00405731","competitive","Code Ninjas(3)|Snapology(1)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Galileo Learning(1)|Challenge Island(1)|Young Chefs Academy(1)|Primrose Schools(5)|Goddard School(3)|KinderCare(13)|i9 Sports(2)","medium","2026-05-21T08:42:03.000Z"
"45","San Francisco city","California","CA","827526","17","81","35640","136689","","12.4","118","77196","37","107","74947.63","0.0019202742","high_opportunity","Code Ninjas(2)|Snapology(1)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Challenge Island(1)|Primrose Schools(5)|Goddard School(2)|KinderCare(12)|i9 Sports(2)","medium","2026-05-21T08:42:03.000Z"
"778","Seattle city","Washington","WA","780995","9","76","33440","116068","","14.1","114.02","76049","36","100","59712.523","0.0022829382","moderate","Code Ninjas(2)|Snapology(1)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Challenge Island(1)|Primrose Schools(4)|Goddard School(2)|KinderCare(12)|i9 Sports(2)","medium","2026-05-21T08:42:03.000Z"
"220","Denver city","Colorado","CO","729019","9","128","56320","85853","","12","107.33","76685","35","169","74388.32","0.002741828","moderate","Code Ninjas(2)|Snapology(1)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Challenge Island(1)|Primrose Schools(4)|Goddard School(2)|KinderCare(11)|i9 Sports(2)","medium","2026-05-21T08:42:03.000Z"
"609","Oklahoma City city","Oklahoma","OK","712919","20","85","37400","64251","","14.5","91.35","57916","35","112","36969.035","0.0039817104","competitive","Code Ninjas(2)|Snapology(1)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Challenge Island(1)|Primrose Schools(4)|Goddard School(2)|KinderCare(11)|i9 Sports(2)","medium","2026-05-21T08:42:03.000Z"
"654","Nashville-Davidson metropolitan government (balance)","Tennessee","TN","704963","5","56","24640","71328","","15.8","91.8","59107","35","74","27038.799","0.0040282854","competitive","Code Ninjas(2)|Snapology(1)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Challenge Island(1)|Primrose Schools(4)|Goddard School(2)|KinderCare(11)|i9 Sports(2)","medium","2026-05-21T08:42:03.000Z"
"252","Washington city","District of Columbia","DC","702250","71","146","64240","101722","","2.1","111.21","100849","35","193","100532.63","0.002265135","moderate","Code Ninjas(2)|Snapology(1)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Challenge Island(1)|Primrose Schools(4)|Goddard School(2)|KinderCare(11)|i9 Sports(2)","medium","2026-05-21T08:42:03.000Z"
"677","El Paso city","Texas","TX","681723","13","123","54120","55710","","14.5","90.96","63767","32","162","46385.004","0.0041901474","competitive","Code Ninjas(2)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Challenge Island(1)|Primrose Schools(4)|Goddard School(2)|KinderCare(10)|i9 Sports(2)","medium","2026-05-21T08:42:03.000Z"
